zip,date,911-score
21136,2018-08-01,9.875
21136,2018-09-01,9.875
21136,2018-10-01,9.75
21136,2018-11-01,9.65625
21152,2015-03-01,9.8125
21152,2015-04-01,9.90625
21152,2015-06-01,9.9375
21152,2015-07-01,9.875
21152,2015-08-01,9.875
21152,2015-09-01,9.9375
21152,2015-10-01,9.84375
21152,2015-11-01,9.96875
21152,2015-12-01,9.9375
21152,2016-01-01,9.875
21152,2016-02-01,9.90625
21152,2016-03-01,9.96875
21152,2016-04-01,9.90625
21152,2016-05-01,9.90625
21152,2016-06-01,9.90625
21152,2016-07-01,9.875
21152,2016-08-01,9.90625
21152,2016-10-01,9.8125
21152,2016-11-01,9.875
21152,2016-12-01,9.96875
21152,2017-01-01,9.90625
21152,2017-02-01,9.9375
21152,2017-03-01,9.90625
21152,2017-04-01,9.9375
21152,2017-05-01,9.90625
21152,2017-06-01,9.90625
21152,2017-07-01,9.96875
21152,2017-08-01,9.9375
21152,2017-09-01,9.90625
21152,2017-10-01,9.90625
21152,2017-11-01,9.9375
21152,2017-12-01,9.875
21152,2018-01-01,9.90625
21152,2018-02-01,9.71875
21152,2018-03-01,9.75
21152,2018-04-01,9.15625
21152,2018-05-01,9.25
21152,2018-06-01,9.40625
21152,2018-07-01,9.5
21152,2018-08-01,9.34375
21152,2018-09-01,9.5
21152,2018-10-01,8.03125
21152,2018-11-01,8.90625
21156,2015-09-01,9.96875
21156,2016-06-01,9.96875
21156,2016-11-01,9.96875
21156,2018-01-01,9.96875
21156,2018-09-01,9.90625
21157,2016-10-01,9.96875
21162,2018-01-01,9.96875
21201,2015-01-01,2.28125
21201,2015-02-01,4.84375
21201,2015-03-01,0.0
21201,2015-04-01,0.0
21201,2015-05-01,0.5
21201,2015-06-01,0.34375
21201,2015-07-01,0.0
21201,2015-08-01,0.0
21201,2015-09-01,0.0
21201,2015-10-01,0.0
21201,2015-11-01,0.0
21201,2015-12-01,0.0
21201,2016-01-01,0.0
21201,2016-02-01,0.0
21201,2016-03-01,0.0
21201,2016-04-01,0.0
21201,2016-05-01,0.0
21201,2016-06-01,0.0
21201,2016-07-01,0.0
21201,2016-08-01,0.0
21201,2016-09-01,0.0
21201,2016-10-01,0.0
21201,2016-11-01,0.0
21201,2016-12-01,0.0
21201,2017-01-01,0.0
21201,2017-02-01,0.0
21201,2017-03-01,0.0
21201,2017-04-01,0.0
21201,2017-05-01,0.0
21201,2017-06-01,0.0
21201,2017-07-01,0.0
21201,2017-08-01,0.0
21201,2017-09-01,0.0
21201,2017-10-01,0.0
21201,2017-11-01,0.0
21201,2017-12-01,0.0
21201,2018-01-01,0.0
21201,2018-02-01,0.0
21201,2018-03-01,0.0
21201,2018-04-01,0.0
21201,2018-05-01,0.0
21201,2018-06-01,0.0
21201,2018-07-01,0.0
21201,2018-08-01,0.0
21201,2018-09-01,0.0
21201,2018-10-01,0.0
21201,2018-11-01,0.0
21202,2015-01-01,2.65625
21202,2015-02-01,3.71875
21202,2015-03-01,0.0
21202,2015-04-01,0.0
21202,2015-05-01,0.0
21202,2015-06-01,0.0
21202,2015-07-01,0.0
21202,2015-08-01,0.0
21202,2015-09-01,0.0
21202,2015-10-01,0.0
21202,2015-11-01,0.0
21202,2015-12-01,0.0
21202,2016-01-01,0.0
21202,2016-02-01,0.0
21202,2016-03-01,0.0
21202,2016-04-01,0.0
21202,2016-05-01,0.0
21202,2016-06-01,0.0
21202,2016-07-01,0.0
21202,2016-08-01,0.0
21202,2016-09-01,0.0
21202,2016-10-01,0.0
21202,2016-11-01,0.0
21202,2016-12-01,0.0
21202,2017-01-01,0.0
21202,2017-02-01,0.0
21202,2017-03-01,0.0
21202,2017-04-01,0.0
21202,2017-05-01,0.0
21202,2017-06-01,0.0
21202,2017-07-01,0.0
21202,2017-08-01,0.0
21202,2017-09-01,0.0
21202,2017-10-01,0.0
21202,2017-11-01,0.0
21202,2017-12-01,0.0
21202,2018-01-01,0.0
21202,2018-02-01,0.0
21202,2018-03-01,0.0
21202,2018-04-01,0.0
21202,2018-05-01,0.0
21202,2018-06-01,0.0
21202,2018-07-01,0.0
21202,2018-08-01,0.0
21202,2018-09-01,0.0
21202,2018-10-01,0.0
21202,2018-11-01,0.0
21204,2015-01-01,9.96875
21204,2015-02-01,9.96875
21204,2015-04-01,9.96875
21204,2015-06-01,9.96875
21204,2015-07-01,9.90625
21204,2015-11-01,9.96875
21204,2015-12-01,9.875
21204,2016-02-01,9.96875
21204,2016-03-01,9.96875
21204,2016-04-01,9.84375
21204,2016-05-01,9.8125
21204,2016-06-01,9.96875
21204,2016-07-01,9.9375
21204,2016-08-01,9.9375
21204,2016-09-01,9.8125
21204,2016-10-01,9.9375
21204,2016-11-01,9.9375
21204,2016-12-01,9.96875
21204,2017-01-01,9.875
21204,2017-02-01,9.96875
21204,2017-03-01,9.9375
21204,2017-04-01,9.84375
21204,2017-05-01,9.875
21204,2017-06-01,9.9375
21204,2017-07-01,9.9375
21204,2017-08-01,9.90625
21204,2017-09-01,9.84375
21204,2017-10-01,9.875
21204,2017-11-01,9.84375
21204,2017-12-01,9.90625
21204,2018-01-01,9.9375
21204,2018-02-01,9.84375
21204,2018-03-01,9.90625
21204,2018-04-01,9.90625
21204,2018-05-01,9.90625
21204,2018-06-01,9.875
21204,2018-07-01,9.96875
21204,2018-08-01,9.875
21204,2018-09-01,9.90625
21204,2018-10-01,9.75
21204,2018-11-01,9.96875
21205,2015-01-01,3.1875
21205,2015-02-01,2.59375
21205,2015-03-01,0.0
21205,2015-04-01,0.0
21205,2015-05-01,0.0
21205,2015-06-01,0.0
21205,2015-07-01,0.0
21205,2015-08-01,0.0
21205,2015-09-01,0.0
21205,2015-10-01,0.0
21205,2015-11-01,0.0
21205,2015-12-01,0.0
21205,2016-01-01,0.0
21205,2016-02-01,0.0
21205,2016-03-01,0.0
21205,2016-04-01,0.0
21205,2016-05-01,0.0
21205,2016-06-01,0.0
21205,2016-07-01,0.0
21205,2016-08-01,0.0
21205,2016-09-01,0.0
21205,2016-10-01,0.0
21205,2016-11-01,0.0
21205,2016-12-01,0.0
21205,2017-01-01,0.0
21205,2017-02-01,0.0
21205,2017-03-01,0.0
21205,2017-04-01,0.0
21205,2017-05-01,0.0
21205,2017-06-01,0.0
21205,2017-07-01,0.0
21205,2017-08-01,0.0
21205,2017-09-01,0.0
21205,2017-10-01,0.0
21205,2017-11-01,0.0
21205,2017-12-01,0.0
21205,2018-01-01,0.0
21205,2018-02-01,0.0
21205,2018-03-01,0.0
21205,2018-04-01,0.0
21205,2018-05-01,0.0
